Scientific Name,Common Name,Dye Strength,Typical Dye Colors (Alum/Neutral),Notes/Other Mordants (Iron/Alkaline),,
Hydnellum suaveolens,Sweet-Scented Hydnellum,Strong,Blue-Green, Purple,Greenish Grey,
Hypomyces lactifluorum,Lobster Mushroom,Strong,Orange, Pink,Rosy Red (Alkaline),
Hypholoma fasciculare,Sulfur Tuft,Strong,Yellow, Greenish-Yellow,Grey-Green (Iron),
Inonotus hispidus,Shaggy Bracket,Strong,Yellow, Orange,Khaki Green (Iron),
Inonotus obliquus,Chaga,Strong,Dark Brown, Coffee, Gold,Rich golden browns; requires long bath
Inonotus tomentosus (Onnia tomentosa),Woolly Velvet Polypore,Strong,Yellow, Orange, Brown,Olive (Iron)
Ischnoderma resinosum,Resinous Polypore,Moderate,Beige, Yellowish,Dark Brown,
Laetiporus sulphureus,Chicken of the Woods,Weak (Fugitive),Light Orange, Pale Yellow,Color fades quickly (fugitive),
Leccinum aurantiacum,Red-Capped Scaber Stalk,Weak,Beige, Yellowish,Dyer's beige,
Leccinum scabrum,Birch Bolete,Weak,Beige, Yellow-Brown,Greyish with Iron,
Leccinum versipelle,Orange Birch Bolete,Weak,Beige, Yellow-Orange,Dyer's beige,
Letharia vulpina,Wolf Lichen (Lichen),Strong,Bright Yellow, Chartreuse,Green (Iron),
Meruliopsis taxicola,Pine Rot Crust,Strong,Purple, Red-Purple,Brown (Iron),
Mycena haematopus,Bleeding Fairy Helmet,Weak,Grey, Purple-Grey,Red latex does not dye wool red,
Neofavolus alveolaris,Hexagonal-Pored Polypore,Weak,Yellow, Orange,Pale Yellow,
Omphalotus illudens,Eastern Jack O'Lantern,Strong,Violet, Purple, Grey,Green (Iron)
Omphalotus olivascens,Western Jack O'Lantern,Strong,Violet, Purple, Olive Green,Greyish Purple
Paxillus involutus,Brown Roll-Rim,Strong,Beige, Yellow-Brown,Greenish-Brown (Iron),
Phaeolus schweinitzii,Dyer's Polypore,Strong,Yellow, Gold, Orange,Olive Green / Dark Brown (Iron)
Phellinus igniarius,Willow Bracket,Strong,Yellow-Brown, Rust,Dark Grey (Iron),
Phellodon melaleucus,Grey Tooth,Moderate,Grey-Blue, Grey-Green,Dark Green with Iron,
Phellodon niger,Black Tooth,Strong,Blue-Black, Grey,Dark Grey/Green,
Phellodon tomentosus,Zoned Tooth,Moderate,Beige, Light Brown,Blue-Grey (Iron),
Phylloporus rhodoxanthus,Gilled Bolete,Strong,Gold, Beige,Yellow-Brown,
Pisolithus arhizus (tinctorius),Dyer's Puffball,Strong,Dark Brown, Rust, Gold,Black/Dark Brown (Iron)
Polyozellus multiplex,Blue Chanterelle,Strong,Blue, Grey, Black,Forest Green (Iron)
Polyporus brumalis,Winter Polypore,Weak,Beige, Cream,Light Brown,
Polyporus squamosus (Cerioporus),Dryad's Saddle,Weak,Beige, Cream,Yellowish,
Pycnoporus cinnabarinus,Cinnabar Polypore,Moderate,Light Orange, Salmon, Tan,Color is often lighter than the mushroom itself
Sarcodon fuscoindicus,Violet Hedgehog,Strong,Violet, Blue-Grey,Dark Purple/Black,
Sarcodon imbricatus,Scaly Hedgehog,Strong,Grey-Blue, Brown,Greenish-Grey (Iron),
Sarcodon leucopus,No Common Name,Strong,Violet, Purple,Blue-Grey with Iron,
Sarcodon scabrosus,Bitter Hedgehog,Strong,Blue-Green, Grey,Greenish,
Sarcodon squamosus,Scaly Tooth,Strong,Blue-Green, Grey,Dark Green,
Stereum hirsutum,False Turkey Tail,Weak,Yellowish-Tan, Golden Beige,Orange-Brown,
Stereum ostrea,False Turkey Tail,Weak,Yellow, Beige,Rust,
Suillus americanus,Chicken Fat Mushroom,Strong,Beige, Yellow,Slate Blue/Grey (Iron),
Suillus tomentosus,Blue-Staining Slippery Jack,Strong,Yellow, Gold,Greenish-Grey (Iron),
Tapinella atrotomentosa,Velvet Paxillus,Strong,Grey-Purple, Violet,Dark Green (Iron),
Trametes betulina (Lenzites),Gilled Polypore,Weak,Beige, Tan,Light Grey with Iron,
Trametes versicolor,Turkey Tail,Weak,Beige, Yellow-Brown,Greyish (Iron),
Trichaptum abietinum,Purple-Toothed Polypore,Weak,Beige, Greyish,Dyer's beige,
Trichaptum biforme,Violet-Toothed Polypore,Weak,Beige, Greyish,Violet pores do not dye wool violet,
Tricholoma equestre,Man on Horseback,Moderate,Yellow, Gold,Greenish-Yellow with Iron,
Tricholoma focale,Booted Knight,Moderate,Red-Brown, Brick Red,Brown,
Tricholoma vaccinum,Russet Scaly Tricholoma,Moderate,Red-Brown, Pinkish-Brown,Rust,
Turbinellus floccosus (Gomphus floccosus),Scaly Vase,Moderate,Orange, Yellow,Gold,
Xanthoria parietina,Sunburst Lichen (Lichen),Strong,Yellow, Pink (Alkaline),Orange,
Xylaria hypoxylon,Candlesnuff Fungus,Weak,Beige, Grey,Dyer's beige,
Xylaria polymorpha,Dead Man's Fingers,Weak,Beige, Greyish-Brown,Dark Grey,
